"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:48:30 am,417.960,1.00,,
09/28/2022 09:48:31 am,418.044,0.00,0.08,0.60
09/28/2022 09:48:34 am,421.549,1.00,,
09/28/2022 09:48:34 am,421.639,0.00,0.09,0.55
09/28/2022 09:48:38 am,425.206,1.00,,
09/28/2022 09:48:38 am,425.295,0.00,0.09,0.56
09/28/2022 09:48:41 am,428.784,1.00,,
09/28/2022 09:48:41 am,428.877,0.00,0.09,0.54
09/28/2022 09:48:45 am,432.448,1.00,,
09/28/2022 09:48:45 am,432.537,0.00,0.09,0.56
09/28/2022 09:48:49 am,436.036,1.00,,
09/28/2022 09:48:49 am,436.127,0.00,0.09,0.55
09/28/2022 09:48:52 am,439.676,1.00,,
09/28/2022 09:48:52 am,439.761,0.00,0.08,0.59
09/28/2022 09:48:56 am,443.294,1.00,,
09/28/2022 09:48:56 am,443.381,0.00,0.09,0.58
09/28/2022 09:48:59 am,446.923,1.00,,
09/28/2022 09:49:00 am,447.005,0.00,0.08,0.61
09/28/2022 09:49:03 am,450.545,1.00,,
09/28/2022 09:49:03 am,450.632,0.00,0.09,0.58
09/28/2022 09:49:07 am,454.189,1.00,,
09/28/2022 09:49:07 am,454.274,0.00,0.08,0.59
09/28/2022 09:49:10 am,457.782,1.00,,
09/28/2022 09:49:10 am,457.874,0.00,0.09,0.54
09/28/2022 09:49:14 am,461.420,1.00,,
09/28/2022 09:49:14 am,461.514,0.00,0.09,0.53
09/28/2022 09:49:18 am,465.008,1.00,,
09/28/2022 09:49:18 am,465.106,0.00,0.10,0.51
09/28/2022 09:49:21 am,468.685,1.00,,
09/28/2022 09:49:21 am,468.781,0.00,0.10,0.52
09/28/2022 09:49:25 am,472.263,1.00,,
09/28/2022 09:49:25 am,472.365,0.00,0.10,0.49
09/28/2022 09:49:28 am,475.928,1.00,,
09/28/2022 09:49:29 am,476.025,0.00,0.10,0.52
09/28/2022 09:49:32 am,479.521,1.00,,
09/28/2022 09:49:32 am,479.619,0.00,0.10,0.51
09/28/2022 09:49:36 am,483.162,1.00,,
09/28/2022 09:49:36 am,483.253,0.00,0.09,0.55
09/28/2022 09:49:39 am,486.770,1.00,,
09/28/2022 09:49:39 am,486.865,0.00,0.10,0.53
09/28/2022 09:49:43 am,490.398,1.00,,
09/28/2022 09:49:43 am,490.488,0.00,0.09,0.56
09/28/2022 09:49:47 am,494.018,1.00,,
09/28/2022 09:49:47 am,494.113,0.00,0.10,0.52
09/28/2022 09:49:50 am,497.651,1.00,,
09/28/2022 09:49:50 am,497.743,0.00,0.09,0.54
09/28/2022 09:49:54 am,501.245,1.00,,
09/28/2022 09:49:54 am,501.344,0.00,0.10,0.51
09/28/2022 09:49:57 am,504.885,1.00,,
09/28/2022 09:49:57 am,504.985,0.00,0.10,0.50
09/28/2022 09:50:01 am,508.474,1.00,,
09/28/2022 09:50:01 am,508.579,0.00,0.11,0.48
09/28/2022 09:50:05 am,512.137,1.00,,
09/28/2022 09:50:05 am,512.240,0.00,0.10,0.48
09/28/2022 09:50:08 am,515.718,1.00,,
09/28/2022 09:50:08 am,515.823,0.00,0.11,0.47
09/28/2022 09:50:12 am,519.386,1.00,,
